size,train_acc,test_acc,train_f1,test_f1,train_roc_auc,test_roc_auc,train_pr_auc,test_pr_auc
500,0.816000,0.841269,0.809129,0.845823,0.890091,0.900157,0.920708,0.930819
977,0.854657,0.869500,0.863462,0.874096,0.913677,0.915473,0.943367,0.943637
1910,0.862827,0.874058,0.858531,0.869876,0.922700,0.914693,0.951372,0.944302
3733,0.877310,0.885635,0.874932,0.884764,0.922649,0.918296,0.951860,0.947519
7295,0.881151,0.887385,0.879197,0.885468,0.919338,0.917394,0.951404,0.947951
14257,0.888967,0.889423,0.887243,0.888245,0.922088,0.921904,0.952883,0.950369
27863,0.889387,0.889673,0.887739,0.887776,0.922560,0.922025,0.953034,0.951433
54456,0.887928,0.889404,0.886238,0.887463,0.922055,0.921738,0.952799,0.951543
106427,0.891841,0.890827,0.890111,0.889050,0.924495,0.922795,0.953767,0.952253
208000,0.891308,0.890577,0.889626,0.888911,0.923840,0.922295,0.953306,0.951842
